Mês;PrecipitacaoTotal
1;78,5
2;19,2
3;122,8
4;448,8
5;243,8
6;96,6
7;492,5
8;176,3
9;55,8
10;56,7
11;27,2
12;102,5
13;170,3
14;46,2
15;200,7
16;331,0
17;304,2
18;277,7
19;57,6
20;91,3
21;62,0
22;208,5
23;319,2
24;100,7
25;35,7
26;70,9
27;74,7
28;48,8
29;411,5
30;170,2
31;162,5
32;137,4
33;30,7
34;73,6
35;35,5
36;10,7
37;36,2
38;28,6
39;38,4
40;230,8
41;231,1
42;308,4
43;198,0
44;211,2
45;109,4
46;208,6
47;209,2
48;158,2
49;48,3
50;142,7
51;128,8
52;107,1
53;247,2
54;240,6
55;198,9
56;60,2
57;92,7
58;27,7
59;58,0
60;194,2
